Subject,Occasion,FileName,FrameIndex,StartSample,EndSampleExclusive,FrameLengthSamples,IsFinalPartialFrame,FrameStatus,Alpha_Ratio_dB,CPPS_dB,H1_H2_dB,SFR_percent,SPR_dB,Spectral_Centroid_Hz,Y_Q_value,H1_H2_valid,SFR_valid,Y_Q_valid,Y_Q_status,Comment
E01,Z1,E01before_tanto-tanto_20141001_02_mono.wav,24,49152,51200,2048,False,analyzed_full_frame,6.438146677,12.140843,8.913605,20.788336346,-19.2385363175,2311.23361167,5.09168062316,True,True,True,valid,
E01,Z1,E01before_tanto-tanto_20141001_02_mono.wav,25,51200,53248,2048,False,analyzed_full_frame,7.465056285,10.515838,9.970101,24.38794212,-13.2474913341,2558.2886326,15.7871175726,True,True,True,valid,
E01,Z1,E01before_tanto-tanto_20141001_02_mono.wav,26,53248,55296,2048,False,analyzed_full_frame,8.062632183,10.068774,9.720945,17.8879952486,-16.8989965779,2953.41924439,8.4915302365,True,True,True,valid,
E01,Z1,E01before_tanto-tanto_20141001_02_mono.wav,27,55296,57344,2048,False,analyzed_full_frame,12.44906116,6.482977,16.24541,17.3002663855,-18.2686896211,4064.34197189,7.99372132424,True,True,True,valid,
E01,Z1,E01before_tanto-tanto_20141001_02_mono.wav,28,57344,59392,2048,False,analyzed_full_frame,15.54722951,5.14027,-37.205998,10.0145315759,-21.8759007392,3258.46395016,3.20545448458,True,True,True,valid,
E01,Z1,E01before_tanto-tanto_20141001_02_mono.wav,29,59392,61440,2048,False,analyzed_full_frame,25.34473683,7.366415,2.321436,6.13745126355,-26.9233333639,2350.63632321,,True,True,False,no_valid_Q,
E01,Z1,E01before_tanto-tanto_20141001_02_mono.wav,30,61440,63488,2048,False,analyzed_full_frame,30.58997221,6.386522,8.279563,3.55967530178,-39.5805734043,1856.16381136,,True,True,False,no_valid_Q,
E01,Z1,E01before_tanto-tanto_20141001_02_mono.wav,31,63488,65536,2048,False,analyzed_full_frame,25.51482108,7.969816,7.494032,7.46979102881,-27.4517349279,2195.96155674,,True,True,False,no_valid_Q,
E01,Z1,E01before_tanto-tanto_20141001_02_mono.wav,32,65536,67584,2048,False,analyzed_full_frame,26.47065661,7.782029,2.550778,6.3816584477,-29.1420688813,2259.20762966,,True,True,False,no_valid_Q,
E01,Z1,E01before_tanto-tanto_20141001_02_mono.wav,33,67584,69632,2048,False,analyzed_full_frame,26.95947359,9.127698,4.346581,5.23562346744,-28.392386625,1820.7546602,,True,True,False,no_valid_Q,
E01,Z1,E01before_tanto-tanto_20141001_02_mono.wav,34,69632,71680,2048,False,analyzed_full_frame,28.86124753,9.955946,0.844733,3.94334955662,-30.9454816093,1659.08806655,,True,True,False,no_valid_Q,
E01,Z1,E01before_tanto-tanto_20141001_02_mono.wav,35,71680,73728,2048,False,analyzed_full_frame,24.35203845,11.368784,1.160016,8.19272673373,-28.4136396425,1742.30158437,,True,True,False,no_valid_Q,
E01,Z1,E01before_tanto-tanto_20141001_02_mono.wav,36,73728,75776,2048,False,analyzed_full_frame,17.18827995,11.322388,11.394989,16.1883638465,-21.3950635306,2439.09448844,9.23338068179,True,True,True,valid,
E01,Z1,E01before_tanto-tanto_20141001_02_mono.wav,37,75776,77824,2048,False,analyzed_full_frame,18.75381777,10.031207,7.717316,14.2106804741,-24.3904306257,2211.75610378,5.64399688835,True,True,True,valid,
E01,Z1,E01before_tanto-tanto_20141001_02_mono.wav,38,77824,79872,2048,False,analyzed_full_frame,17.01772663,9.839234,9.194805,16.0708406039,-18.4274291075,2422.2190696,8.08756582807,True,True,True,valid,
E01,Z1,E01before_tanto-tanto_20141001_02_mono.wav,39,79872,80996,1124,True,skipped_not_analyzed,,,,,,,,False,False,False,not_analyzed_short_final_frame,"Final partial frame has 1124 samples (<2048); recorded only, not analyzed."
E01,Z2,E01after_tanto-tanto_20160401_caro-mio-ben_01_mono.wav,0,0,2048,2048,False,analyzed_full_frame,2.857238106,5.457871,4.717685,9.43504518434,-25.8939839191,4748.76636221,,True,True,False,no_valid_Q,
E01,Z2,E01after_tanto-tanto_20160401_caro-mio-ben_01_mono.wav,1,2048,4096,2048,False,analyzed_full_frame,1.347654576,9.850316,2.490538,6.54362027619,-29.3475720864,1951.80315291,,True,True,False,no_valid_Q,
E01,Z2,E01after_tanto-tanto_20160401_caro-mio-ben_01_mono.wav,2,4096,6144,2048,False,analyzed_full_frame,12.81475212,8.888068,14.41011,10.4491564718,-24.2357191724,1809.76136754,6.34508707155,True,True,True,valid,
E01,Z2,E01after_tanto-tanto_20160401_caro-mio-ben_01_mono.wav,3,6144,8192,2048,False,analyzed_full_frame,4.922761009,8.112623,4.288657,6.69288291952,-24.2703828199,1480.63678696,,True,True,False,no_valid_Q,
E01,Z2,E01after_tanto-tanto_20160401_caro-mio-ben_01_mono.wav,4,8192,10240,2048,False,analyzed_full_frame,0.267284252,8.522263,0.263165,6.31536857822,-22.8800100433,1475.73711834,,True,True,False,no_valid_Q,
E01,Z2,E01after_tanto-tanto_20160401_caro-mio-ben_01_mono.wav,5,10240,12288,2048,False,analyzed_full_frame,0.6655331685,10.29117,1.074763,10.3140994771,-25.9567758427,1716.23787473,,True,True,False,no_valid_Q,
E01,Z2,E01after_tanto-tanto_20160401_caro-mio-ben_01_mono.wav,6,12288,14336,2048,False,analyzed_full_frame,-3.3167126,11.149847,-3.17423,13.3465893725,-17.8228403084,2277.85017111,,True,True,False,no_valid_Q,
E01,Z2,E01after_tanto-tanto_20160401_caro-mio-ben_01_mono.wav,7,14336,16384,2048,False,analyzed_full_frame,1.156287019,11.070881,2.424506,13.9142946151,-23.449332914,2175.65210606,,True,True,False,no_valid_Q,
E01,Z2,E01after_tanto-tanto_20160401_caro-mio-ben_01_mono.wav,8,16384,18432,2048,False,analyzed_full_frame,0.8168218028,8.569036,1.325753,15.6785275618,-15.923990642,1734.62916721,5.01282478617,True,True,True,valid,
E01,Z2,E01after_tanto-tanto_20160401_caro-mio-ben_01_mono.wav,9,18432,20480,2048,False,analyzed_full_frame,2.359855216,11.513235,1.656367,16.4797669723,-18.9278488001,1830.92094438,,True,True,False,no_valid_Q,
E01,Z2,E01after_tanto-tanto_20160401_caro-mio-ben_01_mono.wav,10,20480,22528,2048,False,analyzed_full_frame,4.970851962,8.642899,16.151316,16.4560617761,-12.8422831379,1718.63861813,26.2169928201,True,True,True,valid,
E01,Z2,E01after_tanto-tanto_20160401_caro-mio-ben_01_mono.wav,11,22528,24576,2048,False,analyzed_full_frame,6.694793807,13.717427,11.500179,21.6550454766,-18.285904664,2044.32695214,8.6521691942,True,True,True,valid,
E01,Z2,E01after_tanto-tanto_20160401_caro-mio-ben_01_mono.wav,12,24576,26624,2048,False,analyzed_full_frame,3.00956011,11.113237,-0.243316,17.1201938999,-13.9848033652,1862.18979128,3.99316985725,True,True,True,valid,
E01,Z2,E01after_tanto-tanto_20160401_caro-mio-ben_01_mono.wav,13,26624,28672,2048,False,analyzed_full_frame,11.9636151,11.06983,12.525485,14.0976136952,-17.8520545029,1735.79630451,12.3076425952,True,True,True,valid,
E01,Z2,E01after_tanto-tanto_20160401_caro-mio-ben_01_mono.wav,14,28672,30720,2048,False,analyzed_full_frame,2.453741661,11.845958,4.652051,23.9544787654,-8.62943942454,2140.75732984,15.3269627625,True,True,True,valid,
E01,Z2,E01after_tanto-tanto_20160401_caro-mio-ben_01_mono.wav,15,30720,32768,2048,False,analyzed_full_frame,14.79344806,11.482319,21.216596,15.5587662916,-22.4268950453,1921.8344749,11.5620365331,True,True,True,valid,
E01,Z2,E01after_tanto-tanto_20160401_caro-mio-ben_01_mono.wav,16,32768,34816,2048,False,analyzed_full_frame,8.060179592,9.872051,7.79359,15.5579718344,-14.6951868302,1649.19900358,8.40508333464,True,True,True,valid,
E01,Z2,E01after_tanto-tanto_20160401_caro-mio-ben_01_mono.wav,17,34816,36864,2048,False,analyzed_full_frame,9.518563725,12.941703,11.545397,16.3170988036,-17.3814160564,1691.30379258,12.7290886467,True,True,True,valid,
E01,Z2,E01after_tanto-tanto_20160401_caro-mio-ben_01_mono.wav,18,36864,38912,2048,False,analyzed_full_frame,4.462888286,10.066457,13.221404,24.7668674657,-10.1102596815,1921.94289957,48.726493044,True,True,True,valid,
E01,Z2,E01after_tanto-tanto_20160401_caro-mio-ben_01_mono.wav,19,38912,40960,2048,False,analyzed_full_frame,7.761888041,14.911538,16.751461,30.2652300901,-12.1534936623,2079.62181232,63.7223169195,True,True,True,valid,
E01,Z2,E01after_tanto-tanto_20160401_caro-mio-ben_01_mono.wav,20,40960,43008,2048,False,analyzed_full_frame,4.488265584,12.277761,3.506567,18.0333038989,-15.0902254417,1767.24494053,4.96298957043,True,True,True,valid,
E01,Z2,E01after_tanto-tanto_20160401_caro-mio-ben_01_mono.wav,21,43008,45056,2048,False,analyzed_full_frame,4.664402201,12.408503,6.532883,19.4025819784,-18.0058706052,1906.5333265,8.15861656901,True,True,True,valid,
E01,Z2,E01after_tanto-tanto_20160401_caro-mio-ben_01_mono.wav,22,45056,47104,2048,False,analyzed_full_frame,-1.067077485,13.030284,8.289891,31.3848513648,-3.95043402792,2299.71088535,39.6104852191,True,True,True,valid,
E01,Z2,E01after_tanto-tanto_20160401_caro-mio-ben_01_mono.wav,23,47104,49152,2048,False,analyzed_full_frame,7.851407723,14.56846,15.10121,27.3339747919,-12.0097360719,2138.37812022,54.4731597161,True,True,True,valid,
E01,Z2,E01after_tanto-tanto_20160401_caro-mio-ben_01_mono.wav,24,49152,51200,2048,False,analyzed_full_frame,4.475523151,12.679059,6.91874,18.7644727921,-19.1568592396,2052.00625756,3.86791678988,True,True,True,valid,
