Subject,SFR_Z1_DTWnorm,SFR_Z2_DTWnorm,SFR_Delta_Z2_minus_Z1,SFR_Direction,SFR_Status,Q_Z1_DTWnorm,Q_Z2_DTWnorm,Q_Delta_Z2_minus_Z1,Q_Direction,Q_Status,Q_N_Z1_valid_frames,Q_N_Z2_valid_frames
E01,2.828649647035,2.780371099667,-0.048278547369,approach,computed,15.422978759639,11.440573828891,-3.982404930748,approach,computed,20,35
E02,2.389893941212,3.787761224594,1.397867283382,divergence,computed,12.210709184628,12.760456017770,0.549746833142,divergence,computed,27,28
E03,5.094629546741,2.700304078642,-2.394325468098,approach,computed,,,,not_computed,missing_or_no_valid_Z1_series,0,9
E04,2.964137803547,2.891971173223,-0.072166630324,approach,computed,19.206858000008,13.883202368572,-5.323655631436,approach,computed,13,17
E05,2.574559318067,3.302779708518,0.728220390451,divergence,computed,12.075403939299,13.085127504181,1.009723564882,divergence,computed,27,29
E06,4.761469970725,2.902939905557,-1.858530065169,approach,computed,24.231447162063,13.741274539938,-10.490172622125,approach,computed,3,20
E07,3.900765378247,2.666264986675,-1.234500391572,approach,computed,25.204074211976,15.173517064807,-10.030557147168,approach,computed,2,21
V01,2.719483827863,2.987461475331,0.267977647469,divergence,computed,14.886112785423,14.989573441787,0.103460656364,divergence,computed,14,26
V02,2.622563216710,3.419135766326,0.796572549616,divergence,computed,10.360510677389,10.828325368649,0.467814691259,divergence,computed,35,38
V03,2.495533553958,3.097831433536,0.602297879578,divergence,computed,11.128142690843,14.409524309580,3.281381618737,divergence,computed,40,26
V04,4.874503316840,3.343064192591,-1.531439124249,approach,computed,10.150240485524,8.947443674647,-1.202796810877,approach,computed,45,70
V05,5.941107953090,4.005126283412,-1.935981669679,approach,computed,12.098830392099,11.248512475580,-0.850317916519,approach,computed,41,43
V06,2.333338659585,2.540386723098,0.207048063513,divergence,computed,7.928511550430,10.312969810331,2.384458259901,divergence,computed,45,37
V07,4.546590078252,3.190159030167,-1.356431048085,approach,computed,11.049348613362,9.357391312666,-1.691957300696,approach,computed,49,49
V08,7.301217434696,3.087438809477,-4.213778625219,approach,computed,9.816167892514,14.862555632926,5.046387740412,divergence,computed,41,38
V09,2.351167769167,2.523459150288,0.172291381121,divergence,computed,14.417560618981,10.641542105493,-3.776018513488,approach,computed,17,39
V10,4.890409620762,4.272829701873,-0.617579918889,approach,computed,14.456970989951,14.193153652399,-0.263817337553,approach,computed,15,22
V11,3.747712289781,3.615360698847,-0.132351590934,approach,computed,9.587331897455,12.100483769872,2.513151872416,divergence,computed,50,43
V12,3.167095322233,3.240038561825,0.072943239592,divergence,computed,14.103688124677,12.981469671045,-1.122218453631,approach,computed,23,29
V13,3.277005298988,2.774156941408,-0.502848357579,approach,computed,10.821948417301,10.255003440810,-0.566944976491,approach,computed,34,32
