file_name,frame_index,start_sample,end_sample_exclusive,frame_length_samples,start_time_s,center_time_s,end_time_s,rms_dbfs,is_short_frame,is_silent_frame,include_in_median,exclusion_reason,fa_hz,fc_hz,fb_hz,bandwidth_hz,q_value,peak_db,minus_3db_target_db,n_valid_candidates,selected_peak_policy,status
E07after_tanto-tanto_240206_caro-mio-ben_02_mono.wav,0,0,2048,2048,0.0,0.023219954648526078,0.046439909297052155,-34.84835744184739,False,False,False,no_valid_2p4_4p0_kHz_LPC_peak_or_3dB_crossings,,,,,,,,0,largest-q,no_valid_Q
E07after_tanto-tanto_240206_caro-mio-ben_02_mono.wav,1,2048,4096,2048,0.046439909297052155,0.06965986394557823,0.09287981859410431,-34.46851780387516,False,False,False,no_valid_2p4_4p0_kHz_LPC_peak_or_3dB_crossings,,,,,,,,0,largest-q,no_valid_Q
E07after_tanto-tanto_240206_caro-mio-ben_02_mono.wav,2,4096,6144,2048,0.09287981859410431,0.11609977324263039,0.13931972789115646,-34.90023808416599,False,False,False,no_valid_2p4_4p0_kHz_LPC_peak_or_3dB_crossings,,,,,,,,0,largest-q,no_valid_Q
E07after_tanto-tanto_240206_caro-mio-ben_02_mono.wav,3,6144,8192,2048,0.13931972789115646,0.16253968253968254,0.18575963718820862,-36.044866387933915,False,False,False,no_valid_2p4_4p0_kHz_LPC_peak_or_3dB_crossings,,,,,,,,0,largest-q,no_valid_Q
E07after_tanto-tanto_240206_caro-mio-ben_02_mono.wav,4,8192,10240,2048,0.18575963718820862,0.2089795918367347,0.23219954648526078,-28.93831544099461,False,False,False,no_valid_2p4_4p0_kHz_LPC_peak_or_3dB_crossings,,,,,,,,0,largest-q,no_valid_Q
E07after_tanto-tanto_240206_caro-mio-ben_02_mono.wav,5,10240,12288,2048,0.23219954648526078,0.25541950113378686,0.2786394557823129,-29.191631731992747,False,False,False,no_valid_2p4_4p0_kHz_LPC_peak_or_3dB_crossings,,,,,,,,0,largest-q,no_valid_Q
E07after_tanto-tanto_240206_caro-mio-ben_02_mono.wav,6,12288,14336,2048,0.2786394557823129,0.301859410430839,0.3250793650793651,-22.78693558147756,False,False,False,no_valid_2p4_4p0_kHz_LPC_peak_or_3dB_crossings,,,,,,,,0,largest-q,no_valid_Q
E07after_tanto-tanto_240206_caro-mio-ben_02_mono.wav,7,14336,16384,2048,0.3250793650793651,0.34829931972789113,0.37151927437641724,-18.19748848840443,False,False,False,no_valid_2p4_4p0_kHz_LPC_peak_or_3dB_crossings,,,,,,,,0,largest-q,no_valid_Q
E07after_tanto-tanto_240206_caro-mio-ben_02_mono.wav,8,16384,18432,2048,0.37151927437641724,0.3947392290249433,0.4179591836734694,-15.124768874388167,False,False,False,no_valid_2p4_4p0_kHz_LPC_peak_or_3dB_crossings,,,,,,,,0,largest-q,no_valid_Q
E07after_tanto-tanto_240206_caro-mio-ben_02_mono.wav,9,18432,20480,2048,0.4179591836734694,0.44117913832199546,0.46439909297052157,-13.663654102522107,False,False,True,,3649.8779296875,3535.798396050424,3740.867102808529,205.06870675810524,17.79831739024336,32.502700816366534,29.502700816366534,1,largest-q,valid
E07after_tanto-tanto_240206_caro-mio-ben_02_mono.wav,10,20480,22528,2048,0.46439909297052157,0.4876190476190476,0.5108390022675737,-12.82027217715985,False,False,True,,3692.9443359375,3546.1212495821464,3819.5588815604606,273.43763197831413,13.505618481330254,32.287215875673894,29.287215875673894,1,largest-q,valid
E07after_tanto-tanto_240206_caro-mio-ben_02_mono.wav,11,22528,24576,2048,0.5108390022675737,0.5340589569160997,0.5572789115646258,-11.941634684273438,False,False,True,,3714.4775390625,3663.917738765265,3780.795980466107,116.87824170084195,31.78074451675929,39.85479230294503,36.85479230294503,1,largest-q,valid
E07after_tanto-tanto_240206_caro-mio-ben_02_mono.wav,12,24576,26624,2048,0.5572789115646258,0.5804988662131519,0.603718820861678,-12.46785338849211,False,False,True,,3671.4111328125,3595.2489014934145,3760.451308766673,165.20240727325836,22.22371449309261,37.39806609528641,34.39806609528641,1,largest-q,valid
E07after_tanto-tanto_240206_caro-mio-ben_02_mono.wav,13,26624,28672,2048,0.603718820861678,0.626938775510204,0.6501587301587302,-13.211869055693457,False,False,True,,3197.6806640625,2898.7612050125604,3408.689411149067,509.92820613650656,6.270844847532299,30.795001557279594,27.795001557279594,1,largest-q,valid
E07after_tanto-tanto_240206_caro-mio-ben_02_mono.wav,14,28672,30720,2048,0.6501587301587302,0.6733786848072563,0.6965986394557823,-16.60475845122253,False,False,True,,3240.7470703125,3126.0114601282453,3326.9398174288067,200.9283573005614,16.128868587049585,38.494393003809584,35.494393003809584,1,largest-q,valid
E07after_tanto-tanto_240206_caro-mio-ben_02_mono.wav,15,30720,32768,2048,0.6965986394557823,0.7198185941043084,0.7430385487528345,-14.19075903835819,False,False,True,,3326.8798828125,3075.0269901466136,3529.8815653490874,454.8545752024738,7.3141616335981094,31.56129795982646,28.56129795982646,1,largest-q,valid
E07after_tanto-tanto_240206_caro-mio-ben_02_mono.wav,16,32768,34816,2048,0.7430385487528345,0.7662585034013606,0.7894784580498866,-12.953523256431712,False,False,True,,3090.0146484375,2979.4622063892207,3187.4823872678435,208.0201808786228,14.854398430893037,38.024949886457414,35.024949886457414,1,largest-q,valid
