input_file,sampling_rate_hz,duration_s,frame_size_samples,hop_size_samples,n_frames,n_short_frames,low_band_hz,high_band_hz,alpha_definition,median_alpha_ratio_db,mean_alpha_ratio_db,sd_alpha_ratio_db,min_alpha_ratio_db,max_alpha_ratio_db,framewise_csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/E07before_tanto-tanto_20220531_caro-mio-ben_02_mono.wav,44100,1.718276644,2048,2048,37,0,50-1000,1000-5000,10log10(E_50_1000/E_1000_5000),-2.723168258,-1.068487314,9.831276636,-12.70365551,21.88026847,/mnt/data/Acoustic_Analysis_Results_2026-08-18/01_Alpha_Ratio/E07before_tanto-tanto_20220531_caro-mio-ben_02_mono_alpha_ratio_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/M2025_tanto_tanto_mono.wav,44100,2.832834467,2048,2048,61,0,50-1000,1000-5000,10log10(E_50_1000/E_1000_5000),2.385932903,6.062459018,9.776881411,-12.18021531,34.20204295,/mnt/data/Acoustic_Analysis_Results_2026-08-18/01_Alpha_Ratio/M2025_tanto_tanto_mono_alpha_ratio_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V01after_20190408tanto_tanto_02_mono.wav,44100,1.9969161,2048,2048,43,0,50-1000,1000-5000,10log10(E_50_1000/E_1000_5000),-0.6859188488,2.73830545,12.71097513,-18.69506062,23.41039992,/mnt/data/Acoustic_Analysis_Results_2026-08-18/01_Alpha_Ratio/V01after_20190408tanto_tanto_02_mono_alpha_ratio_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V01before_20170508_tanto_tanto_02_mono.wav,44100,2.136235828,2048,2048,46,0,50-1000,1000-5000,10log10(E_50_1000/E_1000_5000),2.439040866,5.770724689,11.15192958,-9.868693194,28.9135638,/mnt/data/Acoustic_Analysis_Results_2026-08-18/01_Alpha_Ratio/V01before_20170508_tanto_tanto_02_mono_alpha_ratio_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V02after_20240524_tanto_tanto_02_mono.wav,44100,2.414875283,2048,2048,52,0,50-1000,1000-5000,10log10(E_50_1000/E_1000_5000),3.588101467,2.943311699,5.487896951,-8.348742136,15.04520761,/mnt/data/Acoustic_Analysis_Results_2026-08-18/01_Alpha_Ratio/V02after_20240524_tanto_tanto_02_mono_alpha_ratio_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V02before_20220531_tanto_tanto_02_mono.wav,44100,3.111473923,2048,2048,67,0,50-1000,1000-5000,10log10(E_50_1000/E_1000_5000),10.01911379,13.51658915,10.48469658,-15.1398491,34.94927637,/mnt/data/Acoustic_Analysis_Results_2026-08-18/01_Alpha_Ratio/V02before_20220531_tanto_tanto_02_mono_alpha_ratio_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V03after_20190407_tanto_tanto_02_mono.wav,44100,2.321995465,2048,2048,50,0,50-1000,1000-5000,10log10(E_50_1000/E_1000_5000),-0.3958738797,2.816381612,8.446242373,-8.736482688,21.3406018,/mnt/data/Acoustic_Analysis_Results_2026-08-18/01_Alpha_Ratio/V03after_20190407_tanto_tanto_02_mono_alpha_ratio_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V03before_20170508_tanto_tanto_02_mono.wav,44100,2.832834467,2048,2048,61,0,50-1000,1000-5000,10log10(E_50_1000/E_1000_5000),-2.111044887,-1.014185703,9.656268808,-16.62911484,21.93432786,/mnt/data/Acoustic_Analysis_Results_2026-08-18/01_Alpha_Ratio/V03before_20170508_tanto_tanto_02_mono_alpha_ratio_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V04after_20200706_tanto_tanto_02_mono.wav,44100,3.529433107,2048,2048,76,0,50-1000,1000-5000,10log10(E_50_1000/E_1000_5000),-0.8818468251,-1.109461425,4.388571115,-13.08656527,8.735342982,/mnt/data/Acoustic_Analysis_Results_2026-08-18/01_Alpha_Ratio/V04after_20200706_tanto_tanto_02_mono_alpha_ratio_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V04before_20180730_tanto_tanto_02_mono.wav,44100,2.321995465,2048,2048,50,0,50-1000,1000-5000,10log10(E_50_1000/E_1000_5000),5.112134371,5.586268999,4.867322159,-5.876292017,14.30942987,/mnt/data/Acoustic_Analysis_Results_2026-08-18/01_Alpha_Ratio/V04before_20180730_tanto_tanto_02_mono_alpha_ratio_framewise.csv
