input_file,sampling_rate_hz,duration_s,frame_size_samples,hop_size_samples,fft_size_samples,n_frames_total,n_valid_h1h2_frames,n_valid_corrected_frames,n_corrected_warning_frames,n_h2_above_f1_warning_frames,median_h1_minus_h2_db,mean_h1_minus_h2_db,sd_h1_minus_h2_db,median_h1_star_minus_h2_star_db,mean_h1_star_minus_h2_star_db,sd_h1_star_minus_h2_star_db,framewise_csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/E07before_tanto-tanto_20220531_caro-mio-ben_02_mono.wav,44100,1.718277,2048,2048,2048,37,32,0,0,0,-7.328555,-5.332055,12.143910,,,,/mnt/data/Acoustic_Analysis_Results_2026-08-18/03_H1-H2/E07before_tanto-tanto_20220531_caro-mio-ben_02_mono_h1_h2_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/M2025_tanto_tanto_mono.wav,44100,2.832834,2048,2048,2048,61,61,0,0,0,1.617278,6.584081,13.484999,,,,/mnt/data/Acoustic_Analysis_Results_2026-08-18/03_H1-H2/M2025_tanto_tanto_mono_h1_h2_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V01after_20190408tanto_tanto_02_mono.wav,44100,1.996916,2048,2048,2048,43,43,0,0,0,-2.595166,7.116873,21.914317,,,,/mnt/data/Acoustic_Analysis_Results_2026-08-18/03_H1-H2/V01after_20190408tanto_tanto_02_mono_h1_h2_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V01before_20170508_tanto_tanto_02_mono.wav,44100,2.136236,2048,2048,2048,46,46,0,0,0,1.161400,5.441864,14.283718,,,,/mnt/data/Acoustic_Analysis_Results_2026-08-18/03_H1-H2/V01before_20170508_tanto_tanto_02_mono_h1_h2_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V02after_20240524_tanto_tanto_02_mono.wav,44100,2.414875,2048,2048,2048,52,52,0,0,0,3.998855,2.756254,5.842351,,,,/mnt/data/Acoustic_Analysis_Results_2026-08-18/03_H1-H2/V02after_20240524_tanto_tanto_02_mono_h1_h2_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V02before_20220531_tanto_tanto_02_mono.wav,44100,3.111474,2048,2048,2048,67,67,0,0,0,5.890123,6.267866,8.252873,,,,/mnt/data/Acoustic_Analysis_Results_2026-08-18/03_H1-H2/V02before_20220531_tanto_tanto_02_mono_h1_h2_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V03after_20190407_tanto_tanto_02_mono.wav,44100,2.321995,2048,2048,2048,50,50,0,0,0,-1.379853,-0.862759,7.108304,,,,/mnt/data/Acoustic_Analysis_Results_2026-08-18/03_H1-H2/V03after_20190407_tanto_tanto_02_mono_h1_h2_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V03before_20170508_tanto_tanto_02_mono.wav,44100,2.832834,2048,2048,2048,61,59,0,0,0,-3.248756,-3.488506,8.200935,,,,/mnt/data/Acoustic_Analysis_Results_2026-08-18/03_H1-H2/V03before_20170508_tanto_tanto_02_mono_h1_h2_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V04after_20200706_tanto_tanto_02_mono.wav,44100,3.529433,2048,2048,2048,76,76,0,0,0,1.157856,1.664080,6.737020,,,,/mnt/data/Acoustic_Analysis_Results_2026-08-18/03_H1-H2/V04after_20200706_tanto_tanto_02_mono_h1_h2_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V04before_20180730_tanto_tanto_02_mono.wav,44100,2.321995,2048,2048,2048,50,50,0,0,0,4.505908,5.023014,5.692962,,,,/mnt/data/Acoustic_Analysis_Results_2026-08-18/03_H1-H2/V04before_20180730_tanto_tanto_02_mono_h1_h2_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V05after_20240502_tanto_tanto_02_mono.wav,44100,2.182676,2048,2048,2048,47,47,0,0,0,-4.022057,-2.942266,5.304504,,,,/mnt/data/Acoustic_Analysis_Results_2026-08-18/03_H1-H2/V05after_20240502_tanto_tanto_02_mono_h1_h2_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V05before_20220420_tanto_tanto_02_mono.wav,44100,2.182676,2048,2048,2048,47,47,0,0,0,-3.949172,1.231062,13.855043,,,,/mnt/data/Acoustic_Analysis_Results_2026-08-18/03_H1-H2/V05before_20220420_tanto_tanto_02_mono_h1_h2_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V06after_20240618_tanto_tanto_02_mono.wav,44100,2.275556,2048,2048,2048,49,49,0,0,0,-0.811207,0.326108,8.827443,,,,/mnt/data/Acoustic_Analysis_Results_2026-08-18/03_H1-H2/V06after_20240618_tanto_tanto_02_mono_h1_h2_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V06before_20220530_tanto_tanto_02_mono.wav,44100,3.529433,2048,2048,2048,76,73,0,0,0,1.307601,1.093271,8.444480,,,,/mnt/data/Acoustic_Analysis_Results_2026-08-18/03_H1-H2/V06before_20220530_tanto_tanto_02_mono_h1_h2_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V07after_20200629_tnto_tanto_02_mono.wav,44100,2.461315,2048,2048,2048,53,53,0,0,0,4.650529,5.803995,7.850550,,,,/mnt/data/Acoustic_Analysis_Results_2026-08-18/03_H1-H2/V07after_20200629_tnto_tanto_02_mono_h1_h2_framewise.csv
