frame_index,start_sample,end_sample,frame_length_samples,start_time_s,end_time_s,rms_dbfs,valid_h1h2,invalid_reason,f0_hz,autocorr_clarity,h1_frequency_hz,h2_frequency_hz,h1_db,h2_db,h1_minus_h2_db,f1_hz,b1_hz,h1_star_db,h2_star_db,h1_star_minus_h2_star_db,formant_warning
40,81920,83968,2048,1.857596,1.904036,-17.275348,TRUE,,637.699956,0.982859,635.144535,1280.093919,30.499872,38.399800,-7.899928,,,,,,
41,83968,86016,2048,1.904036,1.950476,-15.848742,TRUE,,629.278472,0.989030,633.510094,1257.408352,37.030685,39.087782,-2.057097,,,,,,
42,86016,88064,2048,1.950476,1.996916,-18.207076,TRUE,,623.272084,0.964781,626.747006,1264.395969,26.924085,35.536196,-8.612111,,,,,,
43,88064,90112,2048,1.996916,2.043356,-18.751622,TRUE,,622.683630,0.978289,616.206950,1244.157780,31.466266,34.715022,-3.248756,,,,,,
44,90112,92160,2048,2.043356,2.089796,-17.893985,TRUE,,625.192294,0.979432,630.353269,1248.313192,37.929273,28.259257,9.670016,,,,,,
45,92160,94208,2048,2.089796,2.136236,-21.272341,TRUE,,627.930247,0.980548,631.373154,1277.297064,35.014243,27.274851,7.739392,,,,,,
46,94208,96256,2048,2.136236,2.182676,-26.087838,TRUE,,626.079770,0.919373,581.528647,1271.720697,25.127932,26.922075,-1.794143,,,,,,
47,96256,98304,2048,2.182676,2.229116,-28.003036,TRUE,,632.487748,0.952823,623.343637,1278.128588,26.221671,18.945396,7.276276,,,,,,
48,98304,100352,2048,2.229116,2.275556,-27.755626,TRUE,,209.812328,0.765522,179.464031,428.892486,-17.090338,21.711974,-38.802312,,,,,,
49,100352,102400,2048,2.275556,2.321995,-22.881261,TRUE,,440.753305,0.873375,441.096797,886.426144,34.045962,21.044626,13.001335,,,,,,
50,102400,104448,2048,2.321995,2.368435,-20.783329,TRUE,,448.792970,0.879955,449.589926,911.900705,35.545462,23.821487,11.723974,,,,,,
51,104448,106496,2048,2.368435,2.414875,-16.675574,TRUE,,456.231525,0.971926,456.692622,911.931065,39.141346,33.522379,5.618967,,,,,,
52,106496,108544,2048,2.414875,2.461315,-14.971235,TRUE,,454.370608,0.978064,455.057324,909.105618,39.668916,38.173432,1.495484,,,,,,
53,108544,110592,2048,2.461315,2.507755,-15.806533,TRUE,,448.070066,0.980021,446.887331,895.013093,39.307264,36.410150,2.897114,,,,,,
54,110592,112640,2048,2.507755,2.554195,-14.474829,TRUE,,450.074054,0.980349,452.095194,899.236428,38.450914,40.941197,-2.490283,,,,,,
55,112640,114688,2048,2.554195,2.600635,-13.673364,TRUE,,453.982233,0.982185,453.664174,909.627804,42.666582,36.326607,6.339974,,,,,,
56,114688,116736,2048,2.600635,2.647075,-13.485857,TRUE,,452.552645,0.981638,451.177163,906.279899,42.174369,38.712520,3.461849,,,,,,
57,116736,118784,2048,2.647075,2.693515,-13.696508,TRUE,,444.786558,0.979283,439.985652,889.888063,35.897016,41.548250,-5.651234,,,,,,
58,118784,120832,2048,2.693515,2.739955,-14.955780,TRUE,,448.150426,0.971887,452.478768,892.017314,37.195686,38.851983,-1.656297,,,,,,
59,120832,122880,2048,2.739955,2.786395,-17.729003,TRUE,,461.913416,0.949069,461.522429,917.664872,32.627778,35.195344,-2.567567,,,,,,
60,122880,124928,2048,2.786395,2.832834,-16.074272,TRUE,,455.530926,0.959660,445.154774,915.288501,35.524868,36.585413,-1.060545,,,,,,
