file,frame_index,start_sample,end_sample,frame_length_samples,start_time_s,end_time_s,rms,spr_db,low_band_value,high_band_value,low_peak_freq_hz,high_peak_freq_hz,status
E03before_tanto-tanto_20220607_caro-mio-ben_02_1__mono.wav,0,0,2048,2048,0.0,0.046439909297052155,0.06253681748143107,-39.655488370512366,829.9648439586264,0.08984850591795339,43.06640625,2756.25,included
E03before_tanto-tanto_20220607_caro-mio-ben_02_1__mono.wav,1,2048,4096,2048,0.046439909297052155,0.09287981859410431,0.051391675553102485,-41.07705590301038,430.81969237264485,0.03361939981355664,64.599609375,3057.71484375,included
E03before_tanto-tanto_20220607_caro-mio-ben_02_1__mono.wav,2,4096,6144,2048,0.09287981859410431,0.13931972789115646,0.07240372515368812,-46.373363360438624,2344.638278642155,0.05404300817276865,21.533203125,2067.1875,included
E03before_tanto-tanto_20220607_caro-mio-ben_02_1__mono.wav,3,6144,8192,2048,0.13931972789115646,0.18575963718820862,0.06162483314248838,-45.89146070269328,1348.51715056627,0.03473044947875124,21.533203125,2002.587890625,included
E03before_tanto-tanto_20220607_caro-mio-ben_02_1__mono.wav,4,8192,10240,2048,0.18575963718820862,0.23219954648526078,0.05574871324676693,-43.68628748084407,1203.4713467867412,0.051499973624319434,21.533203125,2024.12109375,included
E03before_tanto-tanto_20220607_caro-mio-ben_02_1__mono.wav,5,10240,12288,2048,0.23219954648526078,0.2786394557823129,0.054273263517206585,-44.278860910390975,1150.7027186572616,0.04296126375218064,43.06640625,2002.587890625,included
E03before_tanto-tanto_20220607_caro-mio-ben_02_1__mono.wav,6,12288,14336,2048,0.2786394557823129,0.3250793650793651,0.1053954315352218,-31.669186153607583,2388.1446628087497,1.626080401448225,21.533203125,3596.044921875,included
E03before_tanto-tanto_20220607_caro-mio-ben_02_1__mono.wav,7,14336,16384,2048,0.3250793650793651,0.37151927437641724,0.14415342165000353,-35.062293723092886,6983.260190049411,2.1768517406793237,1205.859375,3036.181640625,included
E03before_tanto-tanto_20220607_caro-mio-ben_02_1__mono.wav,8,16384,18432,2048,0.37151927437641724,0.4179591836734694,0.1664878912627931,-28.004539599487348,10708.153183497665,16.953548590104738,1205.859375,3574.51171875,included
E03before_tanto-tanto_20220607_caro-mio-ben_02_1__mono.wav,9,18432,20480,2048,0.4179591836734694,0.46439909297052157,0.13205253039059323,-27.811013987770217,2865.4538610710024,4.743424814006826,602.9296875,3057.71484375,included
E03before_tanto-tanto_20220607_caro-mio-ben_02_1__mono.wav,10,20480,22528,2048,0.46439909297052157,0.5108390022675737,0.1654502985962121,-42.06299145496988,8860.576047881314,0.5510142264035004,1248.92578125,3036.181640625,included
E03before_tanto-tanto_20220607_caro-mio-ben_02_1__mono.wav,11,22528,24576,2048,0.5108390022675737,0.5572789115646258,0.1407435746364762,-30.296910565822202,7697.249404126236,7.188603038080614,1227.392578125,3660.64453125,included
E03before_tanto-tanto_20220607_caro-mio-ben_02_1__mono.wav,12,24576,26624,2048,0.5572789115646258,0.603718820861678,0.14029815135376397,-30.661846820908842,5845.950145950497,5.019615195059336,1227.392578125,3079.248046875,included
E03before_tanto-tanto_20220607_caro-mio-ben_02_1__mono.wav,13,26624,28672,2048,0.603718820861678,0.6501587301587302,0.14740327756588506,-30.97775067729801,4778.594507813204,3.815268543815828,624.462890625,3789.84375,included
