file,path,sampling_rate_hz,duration_s,frame_size_samples,hop_size_samples,n_fft,frame_duration_ms,method,low_band_hz,high_band_hz,n_frames_total,n_frames_included,median_spr_db,mean_spr_db,sd_spr_db,min_spr_db,max_spr_db,framewise_csv
E07before_tanto-tanto_20220531_caro-mio-ben_02_mono.wav,/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/E07before_tanto-tanto_20220531_caro-mio-ben_02_mono.wav,44100,1.7182766439909296,2048,2048,2048,46.439909297052154,peak,0.0-2000.0,2000.0-4000.0,37,37,-27.87061973667358,-26.625812823665747,8.495587940097856,-41.87878580319673,-9.39244515837199,/mnt/data/Acoustic_Analysis_Results_2026-08-18/05_SPR/E07before_tanto-tanto_20220531_caro-mio-ben_02_mono_spr_framewise.csv
M2025_tanto_tanto_mono.wav,/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/M2025_tanto_tanto_mono.wav,44100,2.8328344671201813,2048,2048,2048,46.439909297052154,peak,0.0-2000.0,2000.0-4000.0,61,61,-18.205674187800287,-19.123032066838494,8.131453555807589,-38.65475859695153,-2.305677026693716,/mnt/data/Acoustic_Analysis_Results_2026-08-18/05_SPR/M2025_tanto_tanto_mono_spr_framewise.csv
V01after_20190408tanto_tanto_02_mono.wav,/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V01after_20190408tanto_tanto_02_mono.wav,44100,1.9969160997732427,2048,2048,2048,46.439909297052154,peak,0.0-2000.0,2000.0-4000.0,43,43,-25.650030223216,-25.61040233249931,4.346655603670331,-40.23238138476383,-16.674569746655138,/mnt/data/Acoustic_Analysis_Results_2026-08-18/05_SPR/V01after_20190408tanto_tanto_02_mono_spr_framewise.csv
V01before_20170508_tanto_tanto_02_mono.wav,/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V01before_20170508_tanto_tanto_02_mono.wav,44100,2.136235827664399,2048,2048,2048,46.439909297052154,peak,0.0-2000.0,2000.0-4000.0,46,46,-27.829943546872833,-28.062950221916964,6.061811070251714,-43.53628729954829,-15.00306000259491,/mnt/data/Acoustic_Analysis_Results_2026-08-18/05_SPR/V01before_20170508_tanto_tanto_02_mono_spr_framewise.csv
V02after_20240524_tanto_tanto_02_mono.wav,/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V02after_20240524_tanto_tanto_02_mono.wav,44100,2.414875283446712,2048,2048,2048,46.439909297052154,peak,0.0-2000.0,2000.0-4000.0,52,52,-16.39181111669655,-17.834645446512614,6.4933403341733245,-34.770347737508686,-6.237852567363139,/mnt/data/Acoustic_Analysis_Results_2026-08-18/05_SPR/V02after_20240524_tanto_tanto_02_mono_spr_framewise.csv
V02before_20220531_tanto_tanto_02_mono.wav,/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V02before_20220531_tanto_tanto_02_mono.wav,44100,3.111473922902494,2048,2048,2048,46.439909297052154,peak,0.0-2000.0,2000.0-4000.0,67,67,-25.503592698108292,-26.172868447573826,7.616243206383973,-47.55579104545224,-12.650939110027569,/mnt/data/Acoustic_Analysis_Results_2026-08-18/05_SPR/V02before_20220531_tanto_tanto_02_mono_spr_framewise.csv
V03after_20190407_tanto_tanto_02_mono.wav,/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V03after_20190407_tanto_tanto_02_mono.wav,44100,2.3219954648526078,2048,2048,2048,46.439909297052154,peak,0.0-2000.0,2000.0-4000.0,50,50,-19.37916269182386,-20.06800714444418,4.797219812983075,-37.19414718052304,-9.529166828928439,/mnt/data/Acoustic_Analysis_Results_2026-08-18/05_SPR/V03after_20190407_tanto_tanto_02_mono_spr_framewise.csv
V03before_20170508_tanto_tanto_02_mono.wav,/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V03before_20170508_tanto_tanto_02_mono.wav,44100,2.8328344671201813,2048,2048,2048,46.439909297052154,peak,0.0-2000.0,2000.0-4000.0,61,61,-17.307942154258598,-18.846548652771105,6.418068692395777,-37.55913574471717,-6.964270950331505,/mnt/data/Acoustic_Analysis_Results_2026-08-18/05_SPR/V03before_20170508_tanto_tanto_02_mono_spr_framewise.csv
V04after_20200706_tanto_tanto_02_mono.wav,/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V04after_20200706_tanto_tanto_02_mono.wav,44100,3.5294331065759637,2048,2048,2048,46.439909297052154,peak,0.0-2000.0,2000.0-4000.0,76,76,-16.480947147620274,-16.319056277732756,4.407876324465704,-31.584588448892443,-7.56632070722305,/mnt/data/Acoustic_Analysis_Results_2026-08-18/05_SPR/V04after_20200706_tanto_tanto_02_mono_spr_framewise.csv
V04before_20180730_tanto_tanto_02_mono.wav,/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V04before_20180730_tanto_tanto_02_mono.wav,44100,2.3219954648526078,2048,2048,2048,46.439909297052154,peak,0.0-2000.0,2000.0-4000.0,50,50,-13.925196745586984,-14.628279454788624,5.722717427910164,-28.59587926070141,-4.2821499221186645,/mnt/data/Acoustic_Analysis_Results_2026-08-18/05_SPR/V04before_20180730_tanto_tanto_02_mono_spr_framewise.csv
