file,frame_index,start_sample,end_sample,frame_length_samples,start_time_s,end_time_s,rms,spr_db,low_band_value,high_band_value,low_peak_freq_hz,high_peak_freq_hz,status
E02before_20141001_tanto-tanto_01_44100_mono.wav,0,0,2048,2048,0.0,0.046439909297052155,0.09214061657094684,-19.873286053191833,647.8512161801078,6.670320060376061,667.529296875,3273.046875,included
E02before_20141001_tanto-tanto_01_44100_mono.wav,1,2048,4096,2048,0.046439909297052155,0.09287981859410431,0.15265882298118152,-35.57232023849288,10080.580411079338,2.7941744325198017,667.529296875,2045.654296875,included
E02before_20141001_tanto-tanto_01_44100_mono.wav,2,4096,6144,2048,0.09287981859410431,0.13931972789115646,0.17785488458725368,-35.42713738345489,7251.795050435531,2.078412679884001,689.0625,3337.646484375,included
E02before_20141001_tanto-tanto_01_44100_mono.wav,3,6144,8192,2048,0.13931972789115646,0.18575963718820862,0.17217724743373156,-29.154978384481506,7352.817432442261,8.932148696294794,645.99609375,3811.376953125,included
E02before_20141001_tanto-tanto_01_44100_mono.wav,4,8192,10240,2048,0.18575963718820862,0.23219954648526078,0.151274070676138,-23.543625639834957,3920.0994449902087,17.335426075510846,624.462890625,3811.376953125,included
E02before_20141001_tanto-tanto_01_44100_mono.wav,5,10240,12288,2048,0.23219954648526078,0.2786394557823129,0.18848396477231477,-18.73123366128685,7358.18216460959,98.54785349859691,1270.458984375,3165.380859375,included
E02before_20141001_tanto-tanto_01_44100_mono.wav,6,12288,14336,2048,0.2786394557823129,0.3250793650793651,0.218358218043985,-23.078638389898465,11113.155237574969,54.69826386864967,1270.458984375,3165.380859375,included
E02before_20141001_tanto-tanto_01_44100_mono.wav,7,14336,16384,2048,0.3250793650793651,0.37151927437641724,0.22115479542702285,-28.038715454450976,13088.2434910997,20.5593708534624,1270.458984375,3811.376953125,included
E02before_20141001_tanto-tanto_01_44100_mono.wav,8,16384,18432,2048,0.37151927437641724,0.4179591836734694,0.21657909877224182,-19.37582588103798,10880.416570801975,125.62119924906978,624.462890625,3725.244140625,included
E02before_20141001_tanto-tanto_01_44100_mono.wav,9,18432,20480,2048,0.4179591836734694,0.46439909297052157,0.29708663525961854,-23.74274338544592,40255.512582365416,170.03997108217723,624.462890625,3100.78125,included
E02before_20141001_tanto-tanto_01_44100_mono.wav,10,20480,22528,2048,0.46439909297052157,0.5108390022675737,0.2892470217574734,-23.070758015912478,36926.7183840015,182.08111858831785,624.462890625,3100.78125,included
E02before_20141001_tanto-tanto_01_44100_mono.wav,11,22528,24576,2048,0.5108390022675737,0.5572789115646258,0.27550951993398426,-21.434199264597712,34644.87236905291,249.01129064626872,624.462890625,3122.314453125,included
E02before_20141001_tanto-tanto_01_44100_mono.wav,12,24576,26624,2048,0.5572789115646258,0.603718820861678,0.25780681084542123,-21.497798092977,27973.91525799795,198.14058716266567,624.462890625,3100.78125,included
E02before_20141001_tanto-tanto_01_44100_mono.wav,13,26624,28672,2048,0.603718820861678,0.6501587301587302,0.2758311935857338,-21.002489030537795,30013.40086430368,238.2683216766043,624.462890625,3079.248046875,included
E02before_20141001_tanto-tanto_01_44100_mono.wav,14,28672,30720,2048,0.6501587301587302,0.6965986394557823,0.22148290466439444,-19.722115884369146,18970.739255404278,202.24261238262585,624.462890625,3122.314453125,included
E02before_20141001_tanto-tanto_01_44100_mono.wav,15,30720,32768,2048,0.6965986394557823,0.7430385487528345,0.2692029862623615,-20.364379101199436,37459.09475622204,344.444589906191,624.462890625,3122.314453125,included
E02before_20141001_tanto-tanto_01_44100_mono.wav,16,32768,34816,2048,0.7430385487528345,0.7894784580498866,0.22492307989574992,-18.981038808403856,19461.052397932646,246.07213714157626,624.462890625,3122.314453125,included
E02before_20141001_tanto-tanto_01_44100_mono.wav,17,34816,36864,2048,0.7894784580498866,0.8359183673469388,0.22573702914231097,-19.12137903417448,22125.566667330742,270.8672502732216,624.462890625,3122.314453125,included
