RecordType,FrameIndex,SFR_percent,Q_value,SFR_mean_percent,Q_mean,CPPS_dB,AlphaRatio_dB,H1_H2_dB,SpectralCentroid_Hz,SPR_dB
timeseries,0,0.0451039973986688,0,,,,,,,
timeseries,1,0.231830689419762,0,,,,,,,
timeseries,2,0.608661376095269,0,,,,,,,
timeseries,3,1.15451562062909,0,,,,,,,
timeseries,4,1.79524526579815,0,,,,,,,
timeseries,5,2.44765808278723,0,,,,,,,
timeseries,6,3.12857149378508,0.759691585591133,,,,,,,
timeseries,7,3.85640951056637,3.10537470440831,,,,,,,
timeseries,8,4.53830920815716,6.05151722371172,,,,,,,
timeseries,9,5.16086132733248,8.45489358755499,,,,,,,
timeseries,10,5.88489267751046,10.7536908919553,,,,,,,
timeseries,11,6.79697076216086,13.5113178867539,,,,,,,
timeseries,12,7.79201278550372,16.5901208950908,,,,,,,
timeseries,13,8.80773895386421,19.6859352830551,,,,,,,
timeseries,14,9.89114101069997,22.4761394335988,,,,,,,
timeseries,15,11.0154007226081,24.6961932102813,,,,,,,
timeseries,16,12.1513373390235,26.3350342084645,,,,,,,
timeseries,17,13.3006011741675,27.6886869813431,,,,,,,
timeseries,18,14.3343362240238,29.395313595278,,,,,,,
timeseries,19,15.2206113947651,31.7420729498277,,,,,,,
timeseries,20,16.1497627558657,34.2061776355167,,,,,,,
timeseries,21,17.1584573001291,36.5705070740585,,,,,,,
timeseries,22,18.0704704443663,39.0296952992136,,,,,,,
timeseries,23,18.8170266266297,41.206880311797,,,,,,,
timeseries,24,19.471461523483,42.9204699308739,,,,,,,
timeseries,25,20.0713125695299,44.8070474272496,,,,,,,
timeseries,26,20.5998160280339,47.1066019798337,,,,,,,
timeseries,27,21.0377883129577,49.2035202764334,,,,,,,
timeseries,28,21.3965902142684,50.5431254440236,,,,,,,
timeseries,29,21.6461407244316,51.3234019041575,,,,,,,
timeseries,30,21.788078611705,52.0219742586637,,,,,,,
timeseries,31,21.9172458068157,52.4448980026776,,,,,,,
timeseries,32,22.0192218022864,52.6331451829719,,,,,,,
timeseries,33,22.0500747433288,53.1556250759332,,,,,,,
timeseries,34,22.0405508856787,53.8066514194646,,,,,,,
timeseries,35,22.0470452934259,54.0197105219742,,,,,,,
timeseries,36,22.0999440864907,53.6710118171907,,,,,,,
timeseries,37,22.1480368522545,53.4572867808448,,,,,,,
timeseries,38,22.1295738479916,53.7570205203304,,,,,,,
timeseries,39,22.0558432107442,53.8912807771089,,,,,,,
timeseries,40,22.0111063721432,53.6109668572646,,,,,,,
timeseries,41,22.0250141931643,53.1113840260157,,,,,,,
timeseries,42,22.0737561001698,52.8007697235739,,,,,,,
timeseries,43,22.1297005208876,53.3289001199649,,,,,,,
timeseries,44,22.1512543399757,54.4129684395312,,,,,,,
timeseries,45,22.1757048346536,55.0376557486178,,,,,,,
timeseries,46,22.2879725266469,55.2945943097207,,,,,,,
timeseries,47,22.5260594424057,56.1348464679941,,,,,,,
timeseries,48,22.9212272933591,57.4439513083699,,,,,,,
timeseries,49,23.4704186058643,58.1674715868888,,,,,,,
timeseries,50,24.0289778278631,57.8728424848644,,,,,,,
timeseries,51,24.436555507109,56.8842471872164,,,,,,,
timeseries,52,24.6692432335566,55.8417357551653,,,,,,,
timeseries,53,24.7696441742351,55.2471102460761,,,,,,,
timeseries,54,24.7619314935312,55.0158366035813,,,,,,,
timeseries,55,24.700708180708,55.0579643615837,,,,,,,
timeseries,56,24.6652040018135,55.5038495523339,,,,,,,
timeseries,57,24.7017862771989,56.3981658968322,,,,,,,
timeseries,58,24.8652387560603,57.6266626769306,,,,,,,
timeseries,59,25.1755261446943,58.7826378827126,,,,,,,
timeseries,60,25.4976978595795,59.4089579489939,,,,,,,
timeseries,61,25.6443095671502,59.3961658599435,,,,,,,
timeseries,62,25.5818291155227,58.9005928831017,,,,,,,
timeseries,63,25.4104518649249,58.5217956713231,,,,,,,
timeseries,64,25.2256061132667,58.9947541426525,,,,,,,
timeseries,65,25.0277907010994,59.9613502427237,,,,,,,
timeseries,66,24.8731732685114,60.7788387743388,,,,,,,
timeseries,67,24.8819204484286,61.8065568445843,,,,,,,
timeseries,68,25.0277497169048,62.8412307220162,,,,,,,
timeseries,69,25.1475797246931,63.1331556888503,,,,,,,
timeseries,70,25.0730016898957,62.9493769308495,,,,,,,
timeseries,71,24.7799957688563,62.6502560761807,,,,,,,
timeseries,72,24.3979548041064,62.0051102973119,,,,,,,
timeseries,73,24.0730860753185,61.0132742534289,,,,,,,
timeseries,74,23.8453874828571,59.8435091162788,,,,,,,
timeseries,75,23.6476279896722,58.6464874455786,,,,,,,
timeseries,76,23.3947886744929,57.8830767890764,,,,,,,
timeseries,77,22.9803332557688,57.1732295119352,,,,,,,
timeseries,78,22.3091565907447,55.3569256036829,,,,,,,
timeseries,79,21.4406484283344,52.5299616074616,,,,,,,
timeseries,80,20.5176255718355,49.7291697120533,,,,,,,
timeseries,81,19.6420698745682,47.3978445456955,,,,,,,
timeseries,82,18.8472022094275,45.514687145479,,,,,,,
timeseries,83,18.0955235361867,44.1893820387971,,,,,,,
timeseries,84,17.3645684459837,43.1369717889219,,,,,,,
timeseries,85,16.6560046241458,41.5481828718558,,,,,,,
timeseries,86,15.9729300708656,39.3295823809375,,,,,,,
timeseries,87,15.2976041760654,36.8873263216427,,,,,,,
timeseries,88,14.6034471647686,34.1488331868775,,,,,,,
timeseries,89,13.8994521184918,31.0724154658173,,,,,,,
timeseries,90,13.2216638426003,27.8582088715616,,,,,,,
timeseries,91,12.628661304461,24.6528293289662,,,,,,,
timeseries,92,12.1473297782986,21.5600438431086,,,,,,,
timeseries,93,11.7877117286337,18.6497654751439,,,,,,,
timeseries,94,11.5119283736106,15.9655604808753,,,,,,,
timeseries,95,11.2027541509697,13.5308504378927,,,,,,,
timeseries,96,10.8202681297646,11.3539824108284,,,,,,,
timeseries,97,10.4051448941855,9.43232752519281,,,,,,,
timeseries,98,9.99030957665042,7.75555400151826,,,,,,,
timeseries,99,9.60763928191445,6.30820569406378,,,,,,,
timeseries,100,9.26129404222771,5.0717021798476,,,,,,,
timeseries,101,8.9347481284084,4.02586194920993,,,,,,,
timeseries,102,8.66286390630366,3.15003659300609,,,,,,,
timeseries,103,8.68734095480267,2.42393127352742,,,,,,,
timeseries,104,9.18289859111297,1.91572808017353,,,,,,,
timeseries,105,9.85018004838371,1.6665905953628,,,,,,,
timeseries,106,10.361809017789,1.52203516894456,,,,,,,
timeseries,107,10.658746845268,1.63869328440732,,,,,,,
timeseries,108,10.7509499638609,2.2066210073926,,,,,,,
timeseries,109,10.6642636793679,2.80625083964314,,,,,,,
timeseries,110,10.4627161068787,3.21198507781408,,,,,,,
timeseries,111,10.246748249735,3.57312899272748,,,,,,,
timeseries,112,10.0577187903088,4.37949715918237,,,,,,,
timeseries,113,9.9014341442455,6.29826201512286,,,,,,,
timeseries,114,9.79855381173652,8.83343287550904,,,,,,,
timeseries,115,9.75557861730729,10.9068031799646,,,,,,,
timeseries,116,9.77580884305449,12.2266911425458,,,,,,,
timeseries,117,9.87487315189843,13.1842939664522,,,,,,,
timeseries,118,10.0910237733523,14.6613889799285,,,,,,,
timeseries,119,10.4287893206732,16.9382013040361,,,,,,,
timeseries,120,10.8133231874342,19.0426281363331,,,,,,,
timeseries,121,11.1371595780719,20.1795000825202,,,,,,,
timeseries,122,11.4024880455458,20.7105737423693,,,,,,,
timeseries,123,11.7200196351767,21.5380714357042,,,,,,,
timeseries,124,12.0844414953186,22.6563078751977,,,,,,,
timeseries,125,12.3926266558772,23.2094367459025,,,,,,,
timeseries,126,12.6517623109607,23.2043460805721,,,,,,,
timeseries,127,12.9062104036887,23.2385092186681,,,,,,,
timeseries,128,13.132044281462,23.3903639256115,,,,,,,
timeseries,129,13.3726990786489,23.7782605404176,,,,,,,
timeseries,130,13.6495529850551,24.3388719136076,,,,,,,
timeseries,131,13.8695490802975,24.4813250101221,,,,,,,
timeseries,132,14.0113588714514,23.9379067929062,,,,,,,
timeseries,133,14.107407076367,22.8100699914909,,,,,,,
timeseries,134,14.1968870121175,21.6274100327817,,,,,,,
timeseries,135,14.3243211747021,21.3343530904132,,,,,,,
timeseries,136,14.4507741791174,22.3269126170385,,,,,,,
timeseries,137,14.5275462715508,24.0749247343627,,,,,,,
summary,,,,16.072913915840,33.441549368702,7.74,5.78,5.47,894.55,-18.82
