file,status,error_message,sample_rate_hz,total_samples,duration_s,frame_size_samples,frame_duration_ms,n_frames_total,n_full_frames,n_short_frames,short_frame_indices,n_silent_frames,silent_frame_indices,n_frames_included_in_median,median_sfr_percent,mean_sfr_percent,sd_sfr_percent,min_sfr_percent,max_sfr_percent,framewise_csv,warning
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/E01after_tanto-tanto_20160401_caro-mio-ben_01_mono.wav,ok,,44100,118784,2.693514739,2048,46.439909,58,58,0,,0,,58,15.558369063020967,15.422667196795551,7.661679423156433,2.446239959166312,31.384851364845421,/mnt/data/Acoustic_Analysis_Results_2026-08-18/04_SFR/E01after_tanto-tanto_20160401_caro-mio-ben_01_mono_sfr_framewise.csv,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/E01before_tanto-tanto_20141001_02_mono.wav,ok,,44100,79872,1.811156463,2048,46.439909,39,39,0,,0,,39,14.937224314780531,14.288250256491532,8.414656506466658,3.559675301779961,31.493825601805469,/mnt/data/Acoustic_Analysis_Results_2026-08-18/04_SFR/E01before_tanto-tanto_20141001_02_mono_sfr_framewise.csv,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/E02after_20160401_tanto-tanto_01_44100_mono.wav,ok,,44100,88064,1.996916100,2048,46.439909,43,43,0,,0,,43,8.982394545497458,9.347320369944162,3.791302140337357,3.400843501480584,25.304067033543991,/mnt/data/Acoustic_Analysis_Results_2026-08-18/04_SFR/E02after_20160401_tanto-tanto_01_44100_mono_sfr_framewise.csv,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/E02before_20141001_tanto-tanto_01_44100_mono.wav,ok,,44100,90112,2.043356009,2048,46.439909,44,44,0,,0,,44,11.788975235778061,11.117971973104675,3.958144047175904,4.781900350939493,18.488078348500075,/mnt/data/Acoustic_Analysis_Results_2026-08-18/04_SFR/E02before_20141001_tanto-tanto_01_44100_mono_sfr_framewise.csv,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/E03after_tanto-tanto_20240223_caro-mio-ben_02_mono.wav,ok,,44100,96256,2.182675737,2048,46.439909,47,47,0,,0,,47,9.784575376764675,10.532791413998488,3.888706024836289,3.700271167483939,20.393772419028945,/mnt/data/Acoustic_Analysis_Results_2026-08-18/04_SFR/E03after_tanto-tanto_20240223_caro-mio-ben_02_mono_sfr_framewise.csv,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/E03before_tanto-tanto_20220607_caro-mio-ben_02_1__mono.wav,ok,,44100,90112,2.043356009,2048,46.439909,44,44,0,,0,,44,4.946051360852599,5.081039320766136,1.698016374515680,1.774653776173234,10.135668451032286,/mnt/data/Acoustic_Analysis_Results_2026-08-18/04_SFR/E03before_tanto-tanto_20220607_caro-mio-ben_02_1__mono_sfr_framewise.csv,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/E04after_20240223_tanto-tanto_02_mono.wav,ok,,44100,112640,2.554195011,2048,46.439909,55,55,0,,0,,55,12.209895364404520,12.177512264290330,4.328604736598548,3.747876613270376,24.981185099694425,/mnt/data/Acoustic_Analysis_Results_2026-08-18/04_SFR/E04after_20240223_tanto-tanto_02_mono_sfr_framewise.csv,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/E04before_20220607_tanto-tanto_02_mono.wav,ok,,44100,114688,2.600634921,2048,46.439909,56,56,0,,0,,56,6.965327174221009,8.255565167497164,4.782565230575682,2.260032861238505,22.268568954535507,/mnt/data/Acoustic_Analysis_Results_2026-08-18/04_SFR/E04before_20220607_tanto-tanto_02_mono_sfr_framewise.csv,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/E05after_tanto-tanto240206_0629caro-2_mono.wav,ok,,44100,79872,1.811156463,2048,46.439909,39,39,0,,0,,39,18.924909600263156,18.028459454176520,8.730587341221234,3.178237207026700,33.917068896861032,/mnt/data/Acoustic_Analysis_Results_2026-08-18/04_SFR/E05after_tanto-tanto240206_0629caro-2_mono_sfr_framewise.csv,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/E05before_tanto-tanto_20220531_caro-mio-ben_02_mono.wav,ok,,44100,96256,2.182675737,2048,46.439909,47,47,0,,0,,47,7.670688605613505,8.695494948786576,4.890828932908850,1.423802743711094,23.306637079558236,/mnt/data/Acoustic_Analysis_Results_2026-08-18/04_SFR/E05before_tanto-tanto_20220531_caro-mio-ben_02_mono_sfr_framewise.csv,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/E06after_tanto-tanto240206_caro-mio-ben_02_mono.wav,ok,,44100,108544,2.461315193,2048,46.439909,53,53,0,,0,,53,12.000540189120976,13.142102926431276,6.327975129366469,3.623660645391609,26.761126313200620,/mnt/data/Acoustic_Analysis_Results_2026-08-18/04_SFR/E06after_tanto-tanto240206_caro-mio-ben_02_mono_sfr_framewise.csv,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/E06before_tanto-tanto_20220607_caro-mio-ben_02_mono.wav,ok,,44100,96256,2.182675737,2048,46.439909,47,47,0,,0,,47,3.847865567460274,4.272904991361471,2.213181017461075,1.177093003742791,10.559755301843850,/mnt/data/Acoustic_Analysis_Results_2026-08-18/04_SFR/E06before_tanto-tanto_20220607_caro-mio-ben_02_mono_sfr_framewise.csv,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/E07after_tanto-tanto_240206_caro-mio-ben_02_mono.wav,ok,,44100,88064,1.996916100,2048,46.439909,43,43,0,,0,,43,12.003256496009620,12.390928613366267,5.947486890050595,3.148613178797435,27.535112289231954,/mnt/data/Acoustic_Analysis_Results_2026-08-18/04_SFR/E07after_tanto-tanto_240206_caro-mio-ben_02_mono_sfr_framewise.csv,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/E07before_tanto-tanto_20220531_caro-mio-ben_02_mono.wav,ok,,44100,75776,1.718276644,2048,46.439909,37,37,0,,0,,37,6.616402435382900,8.272944391537781,5.845446451396087,2.162387664411672,25.883366916747661,/mnt/data/Acoustic_Analysis_Results_2026-08-18/04_SFR/E07before_tanto-tanto_20220531_caro-mio-ben_02_mono_sfr_framewise.csv,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/M2025_tanto_tanto_mono.wav,ok,,44100,124928,2.832834467,2048,46.439909,61,61,0,,0,,61,16.584392472260461,15.445251117335259,6.426586564758304,2.153140903039739,28.696834085205925,/mnt/data/Acoustic_Analysis_Results_2026-08-18/04_SFR/M2025_tanto_tanto_mono_sfr_framewise.csv,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V01after_20190408tanto_tanto_02_mono.wav,ok,,44100,88064,1.996916100,2048,46.439909,43,43,0,,0,,43,9.602657676943601,10.017668729677565,2.833378620474490,3.702366625181285,17.838526885225651,/mnt/data/Acoustic_Analysis_Results_2026-08-18/04_SFR/V01after_20190408tanto_tanto_02_mono_sfr_framewise.csv,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V01before_20170508_tanto_tanto_02_mono.wav,ok,,44100,94208,2.136235828,2048,46.439909,46,46,0,,0,,46,6.896350000556446,8.138477507433356,4.143921699010583,2.178343263910083,19.884943784644125,/mnt/data/Acoustic_Analysis_Results_2026-08-18/04_SFR/V01before_20170508_tanto_tanto_02_mono_sfr_framewise.csv,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V02after_20240524_tanto_tanto_02_mono.wav,ok,,44100,106496,2.414875283,2048,46.439909,52,52,0,,0,,52,15.110954790604499,15.928211551475624,6.474478862695950,4.416687950137758,31.300010012125703,/mnt/data/Acoustic_Analysis_Results_2026-08-18/04_SFR/V02after_20240524_tanto_tanto_02_mono_sfr_framewise.csv,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V02before_20220531_tanto_tanto_02_mono.wav,ok,,44100,137216,3.111473923,2048,46.439909,67,67,0,,0,,67,8.552542566243078,8.774280544905666,4.635675623776566,2.089706673446200,21.056332166123603,/mnt/data/Acoustic_Analysis_Results_2026-08-18/04_SFR/V02before_20220531_tanto_tanto_02_mono_sfr_framewise.csv,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V03after_20190407_tanto_tanto_02_mono.wav,ok,,44100,102400,2.321995465,2048,46.439909,50,50,0,,0,,50,17.346615871535015,18.101659362631302,6.777686934370644,4.471109406745787,38.311728929325163,/mnt/data/Acoustic_Analysis_Results_2026-08-18/04_SFR/V03after_20190407_tanto_tanto_02_mono_sfr_framewise.csv,
