file_name,sample_rate_hz,duration_s,total_samples,frame_size_samples,hop_size_samples,lpc_order,peak_search_low_hz,peak_search_high_hz,silence_threshold_dbfs,total_frames_recorded,n_short_frames_excluded,n_silent_frames_excluded,n_no_valid_q_frames,n_valid_q_frames,median_Y_Q_value,mean_Y_Q_value,sd_Y_Q_value,min_Y_Q_value,max_Y_Q_value,q1_Y_Q_value,q3_Y_Q_value,iqr_Y_Q_value,framewise_csv,status
V06after_20240618_tanto_tanto_02_mono.wav,44100,2.2755555555555556,100352,2048,2048,12,2400.0,4000.0,-60.0,49,0,0,12,37,15.597371478653764,17.931973890678208,10.099576398565976,4.896418878747088,47.94988867100748,10.400219961582208,22.892364784196854,12.492144822614646,/mnt/data/Acoustic_Analysis_Results_2026-08-18/07_Y_Q_value/V06after_20240618_tanto_tanto_02_mono_Y_Q_value_framewise.csv,ok
V06before_20220530_tanto_tanto_02_mono.wav,44100,3.5294331065759637,155648,2048,2048,12,2400.0,4000.0,-60.0,76,0,0,31,45,17.091357241418322,22.38602499329841,19.10780588574699,2.5124581842650056,98.11446511876096,9.549693990353237,27.059421855720732,17.509727865367495,/mnt/data/Acoustic_Analysis_Results_2026-08-18/07_Y_Q_value/V06before_20220530_tanto_tanto_02_mono_Y_Q_value_framewise.csv,ok
V07after_20200629_tnto_tanto_02_mono.wav,44100,2.461315192743764,108544,2048,2048,12,2400.0,4000.0,-60.0,53,0,0,4,49,16.69948567739362,20.682702206461343,15.668707002202511,3.7167716373056012,95.03336491640512,9.867833850797208,26.373936887194745,16.506103036397537,/mnt/data/Acoustic_Analysis_Results_2026-08-18/07_Y_Q_value/V07after_20200629_tnto_tanto_02_mono_Y_Q_value_framewise.csv,ok
V07before_20180730_tanto_tanto_02_mono.wav,44100,2.461315192743764,108544,2048,2048,12,2400.0,4000.0,-60.0,53,0,0,4,49,28.137353657469117,40.458782599591444,38.4181189035129,8.519881477460707,249.95588700428394,20.28398086715214,46.151328165200134,25.867347298047992,/mnt/data/Acoustic_Analysis_Results_2026-08-18/07_Y_Q_value/V07before_20180730_tanto_tanto_02_mono_Y_Q_value_framewise.csv,ok
V08after_20240422_tanto_tanto_02_mono.wav,44100,2.2291156462585033,98304,2048,2048,12,2400.0,4000.0,-60.0,48,0,0,10,38,24.176213340081155,40.06280268945511,35.58509187338021,5.48895012512366,142.61538037132644,14.270896310562444,62.75916030896044,48.488263998398,/mnt/data/Acoustic_Analysis_Results_2026-08-18/07_Y_Q_value/V08after_20240422_tanto_tanto_02_mono_Y_Q_value_framewise.csv,ok
V08before_20220420_tanto_tanto_01_mono.wav,44100,2.136235827664399,94208,2048,2048,12,2400.0,4000.0,-60.0,46,0,0,5,41,16.007905284508603,18.42242961291797,10.198813528951407,4.085374330337904,53.874285662467315,12.85175326725942,23.13168259021514,10.279929322955718,/mnt/data/Acoustic_Analysis_Results_2026-08-18/07_Y_Q_value/V08before_20220420_tanto_tanto_01_mono_Y_Q_value_framewise.csv,ok
V09after_20190508_tanto_tanto_02_mono.wav,44100,3.1579138321995464,139264,2048,2048,12,2400.0,4000.0,-60.0,68,0,0,29,39,15.090707340004718,22.475413954391698,18.105982236572192,4.836174225853702,69.56433944878926,8.449392905440565,30.548260718741915,22.09886781330135,/mnt/data/Acoustic_Analysis_Results_2026-08-18/07_Y_Q_value/V09after_20190508_tanto_tanto_02_mono_Y_Q_value_framewise.csv,ok
V09before_20170526_tanto_tanto_02_mono.wav,44100,2.8792743764172335,126976,2048,2048,12,2400.0,4000.0,-60.0,62,0,0,45,17,31.881486226653884,32.450235402915794,26.38502800238843,2.2609851611327674,114.36336074006378,21.650323666822448,40.59177597332775,18.9414523065053,/mnt/data/Acoustic_Analysis_Results_2026-08-18/07_Y_Q_value/V09before_20170526_tanto_tanto_02_mono_Y_Q_value_framewise.csv,ok
V10after_20240501_tanto_tanto_02_mono.wav,44100,2.136235827664399,94208,2048,2048,12,2400.0,4000.0,-60.0,46,0,0,24,22,11.385550787943384,11.649151367409251,5.136339108694639,4.312302174842654,24.113299319397917,7.961033939973566,14.111178594002789,6.150144654029223,/mnt/data/Acoustic_Analysis_Results_2026-08-18/07_Y_Q_value/V10after_20240501_tanto_tanto_02_mono_Y_Q_value_framewise.csv,ok
V10before_20220420_tanto_tanto_02_mono.wav,44100,2.089795918367347,92160,2048,2048,12,2400.0,4000.0,-60.0,45,0,0,30,15,27.869284306800633,22.768496464763086,14.056579664836391,0.8972757348631664,40.901381057293115,8.77364744088901,35.694409615968084,26.920762175079076,/mnt/data/Acoustic_Analysis_Results_2026-08-18/07_Y_Q_value/V10before_20220420_tanto_tanto_02_mono_Y_Q_value_framewise.csv,ok
V11after_20240502_tanto_tanto_02_mono.wav,44100,2.414875283446712,106496,2048,2048,12,2400.0,4000.0,-60.0,52,0,0,9,43,13.063079412982196,13.47899040998932,7.3689303618758455,3.2582512594882678,30.069387094204725,7.546352397275799,17.615544641561023,10.069192244285224,/mnt/data/Acoustic_Analysis_Results_2026-08-18/07_Y_Q_value/V11after_20240502_tanto_tanto_02_mono_Y_Q_value_framewise.csv,ok
V11before_20220420_tanto_tanto_02_mono.wav,44100,2.414875283446712,106496,2048,2048,12,2400.0,4000.0,-60.0,52,0,0,2,50,23.454408593486995,27.510208763044897,19.993844220128167,4.2669635549220395,105.80782369078314,12.925407740365989,37.27541184388473,24.350004103518742,/mnt/data/Acoustic_Analysis_Results_2026-08-18/07_Y_Q_value/V11before_20220420_tanto_tanto_02_mono_Y_Q_value_framewise.csv,ok
V12after_20190408_tanto_tanto_02_mono.wav,44100,1.811156462585034,79872,2048,2048,12,2400.0,4000.0,-60.0,39,0,0,10,29,8.004834302722912,9.120057232074918,3.9151295643161097,3.976073162203577,17.90845278305604,6.414499365232456,11.369574709776886,4.95507534454443,/mnt/data/Acoustic_Analysis_Results_2026-08-18/07_Y_Q_value/V12after_20190408_tanto_tanto_02_mono_Y_Q_value_framewise.csv,ok
V12before_20170508_tanto_tanto_02_mono.wav,44100,2.089795918367347,92160,2048,2048,12,2400.0,4000.0,-60.0,45,0,0,22,23,13.690961074965545,13.528317326438936,5.52455173790742,5.363665183220119,26.429647762018757,9.391497722081741,16.332825335541095,6.941327613459354,/mnt/data/Acoustic_Analysis_Results_2026-08-18/07_Y_Q_value/V12before_20170508_tanto_tanto_02_mono_Y_Q_value_framewise.csv,ok
V13after_20190409_tanto_tanto_02_mono.wav,44100,2.043356009070295,90112,2048,2048,12,2400.0,4000.0,-60.0,44,0,0,12,32,13.125440997977982,20.151710387114406,17.653482152234083,4.53179284292994,71.28679354931882,6.94043084920294,29.635270808266498,22.694839959063557,/mnt/data/Acoustic_Analysis_Results_2026-08-18/07_Y_Q_value/V13after_20190409_tanto_tanto_02_mono_Y_Q_value_framewise.csv,ok
V13before_20170508_tanto_tanto_02_mono.wav,44100,1.9504761904761905,86016,2048,2048,12,2400.0,4000.0,-60.0,42,0,0,8,34,20.83846413139948,26.925587741966936,24.37705904710475,4.811832029429055,139.74632732713752,13.18083941621083,31.773150219530766,18.592310803319936,/mnt/data/Acoustic_Analysis_Results_2026-08-18/07_Y_Q_value/V13before_20170508_tanto_tanto_02_mono_Y_Q_value_framewise.csv,ok
