input_file,framewise_csv,sampling_rate_hz,duration_s,frame_size_samples,hop_size_samples,fft_size_points,frame_duration_ms,window,weighting,min_frequency_hz,max_frequency_hz,centroid_definition,n_frames_total,n_valid_centroid_frames,n_invalid_centroid_frames,n_likely_voiced_frames,n_likely_unvoiced_frames,likely_unvoiced_frame_indices,median_spectral_centroid_all_frames_hz,q25_spectral_centroid_all_frames_hz,q75_spectral_centroid_all_frames_hz,iqr_spectral_centroid_all_frames_hz,mean_spectral_centroid_all_frames_hz,sd_spectral_centroid_all_frames_hz,min_spectral_centroid_all_frames_hz,max_spectral_centroid_all_frames_hz,median_spectral_centroid_likely_voiced_frames_hz,iqr_spectral_centroid_likely_voiced_frames_hz,warning
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V04before_20180730_tanto_tanto_02_mono.wav,/mnt/data/Acoustic_Analysis_Results_2026-08-18/06_Spectral_Centroid/V04before_20180730_tanto_tanto_02_mono_spectral_centroid_framewise.csv,44100,2.321995465,2048,2048,2048,46.439909297,hann,magnitude,0.000000000,22050.000000000,sum(frequency_bin_hz * spectral_weight) / sum(spectral_weight),50,50,0,50,0,,1899.465716205,1752.133028297,2034.188936260,282.055907963,1908.272191527,241.736342281,1469.916424904,2667.776233993,1899.465716205,282.055907963,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V05after_20240502_tanto_tanto_02_mono.wav,/mnt/data/Acoustic_Analysis_Results_2026-08-18/06_Spectral_Centroid/V05after_20240502_tanto_tanto_02_mono_spectral_centroid_framewise.csv,44100,2.182675737,2048,2048,2048,46.439909297,hann,magnitude,0.000000000,22050.000000000,sum(frequency_bin_hz * spectral_weight) / sum(spectral_weight),47,47,0,47,0,,1857.527129436,1743.728480496,2067.406778972,323.678298476,1948.562521862,386.264478742,1428.847007150,3454.032810527,1857.527129436,323.678298476,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V05before_20220420_tanto_tanto_02_mono.wav,/mnt/data/Acoustic_Analysis_Results_2026-08-18/06_Spectral_Centroid/V05before_20220420_tanto_tanto_02_mono_spectral_centroid_framewise.csv,44100,2.182675737,2048,2048,2048,46.439909297,hann,magnitude,0.000000000,22050.000000000,sum(frequency_bin_hz * spectral_weight) / sum(spectral_weight),47,47,0,47,0,,2141.016089620,1994.311152150,2320.884554989,326.573402838,2209.471406013,471.425977320,1581.338196639,4444.881097445,2141.016089620,326.573402838,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V06after_20240618_tanto_tanto_02_mono.wav,/mnt/data/Acoustic_Analysis_Results_2026-08-18/06_Spectral_Centroid/V06after_20240618_tanto_tanto_02_mono_spectral_centroid_framewise.csv,44100,2.275555556,2048,2048,2048,46.439909297,hann,magnitude,0.000000000,22050.000000000,sum(frequency_bin_hz * spectral_weight) / sum(spectral_weight),49,49,0,49,0,,1565.978959298,1472.953945889,1685.854003204,212.900057315,1689.776626326,406.678862564,1372.063790957,3609.263060496,1565.978959298,212.900057315,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V06before_20220530_tanto_tanto_02_mono.wav,/mnt/data/Acoustic_Analysis_Results_2026-08-18/06_Spectral_Centroid/V06before_20220530_tanto_tanto_02_mono_spectral_centroid_framewise.csv,44100,3.529433107,2048,2048,2048,46.439909297,hann,magnitude,0.000000000,22050.000000000,sum(frequency_bin_hz * spectral_weight) / sum(spectral_weight),76,76,0,76,0,,1591.870703889,1419.360649127,1790.220083797,370.859434670,1827.706779270,738.036111551,1163.564935747,4527.299826281,1591.870703889,370.859434670,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V07after_20200629_tnto_tanto_02_mono.wav,/mnt/data/Acoustic_Analysis_Results_2026-08-18/06_Spectral_Centroid/V07after_20200629_tnto_tanto_02_mono_spectral_centroid_framewise.csv,44100,2.461315193,2048,2048,2048,46.439909297,hann,magnitude,0.000000000,22050.000000000,sum(frequency_bin_hz * spectral_weight) / sum(spectral_weight),53,53,0,53,0,,1582.676984142,1490.076170503,1720.803907275,230.727736772,1591.708580842,196.577728180,1049.524623032,2026.332543837,1582.676984142,230.727736772,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V07before_20180730_tanto_tanto_02_mono.wav,/mnt/data/Acoustic_Analysis_Results_2026-08-18/06_Spectral_Centroid/V07before_20180730_tanto_tanto_02_mono_spectral_centroid_framewise.csv,44100,2.461315193,2048,2048,2048,46.439909297,hann,magnitude,0.000000000,22050.000000000,sum(frequency_bin_hz * spectral_weight) / sum(spectral_weight),53,53,0,53,0,,1891.703134814,1773.992226230,2030.934689958,256.942463728,1901.322055888,221.425740541,1488.743044005,2562.812914919,1891.703134814,256.942463728,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V08after_20240422_tanto_tanto_02_mono.wav,/mnt/data/Acoustic_Analysis_Results_2026-08-18/06_Spectral_Centroid/V08after_20240422_tanto_tanto_02_mono_spectral_centroid_framewise.csv,44100,2.229115646,2048,2048,2048,46.439909297,hann,magnitude,0.000000000,22050.000000000,sum(frequency_bin_hz * spectral_weight) / sum(spectral_weight),48,48,0,48,0,,1700.154610571,1507.604742871,1889.697097745,382.092354875,1790.489458663,541.679057574,1160.836559078,4543.538186295,1700.154610571,382.092354875,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V08before_20220420_tanto_tanto_01_mono.wav,/mnt/data/Acoustic_Analysis_Results_2026-08-18/06_Spectral_Centroid/V08before_20220420_tanto_tanto_01_mono_spectral_centroid_framewise.csv,44100,2.136235828,2048,2048,2048,46.439909297,hann,magnitude,0.000000000,22050.000000000,sum(frequency_bin_hz * spectral_weight) / sum(spectral_weight),46,46,0,46,0,,2146.163300281,1647.028995583,2389.496930654,742.467935071,2109.322395906,534.091940431,1189.503434968,4369.665685221,2146.163300281,742.467935071,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V09after_20190508_tanto_tanto_02_mono.wav,/mnt/data/Acoustic_Analysis_Results_2026-08-18/06_Spectral_Centroid/V09after_20190508_tanto_tanto_02_mono_spectral_centroid_framewise.csv,44100,3.157913832,2048,2048,2048,46.439909297,hann,magnitude,0.000000000,22050.000000000,sum(frequency_bin_hz * spectral_weight) / sum(spectral_weight),68,68,0,68,0,,1598.022419421,1479.332117868,1760.695125034,281.363007165,1656.737531218,349.106595771,1101.390390127,3860.530694514,1598.022419421,281.363007165,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V09before_20170526_tanto_tanto_02_mono.wav,/mnt/data/Acoustic_Analysis_Results_2026-08-18/06_Spectral_Centroid/V09before_20170526_tanto_tanto_02_mono_spectral_centroid_framewise.csv,44100,2.879274376,2048,2048,2048,46.439909297,hann,magnitude,0.000000000,22050.000000000,sum(frequency_bin_hz * spectral_weight) / sum(spectral_weight),62,62,0,62,0,,1395.679076276,1331.452827143,1503.709726309,172.256899166,1518.610144950,596.600454319,1056.378585938,5042.231785232,1395.679076276,172.256899166,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V10after_20240501_tanto_tanto_02_mono.wav,/mnt/data/Acoustic_Analysis_Results_2026-08-18/06_Spectral_Centroid/V10after_20240501_tanto_tanto_02_mono_spectral_centroid_framewise.csv,44100,2.136235828,2048,2048,2048,46.439909297,hann,magnitude,0.000000000,22050.000000000,sum(frequency_bin_hz * spectral_weight) / sum(spectral_weight),46,46,0,46,0,,1805.950100903,1605.945371943,2012.767554947,406.822183004,1965.685266164,623.143941733,1413.352170793,4630.935571153,1805.950100903,406.822183004,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V10before_20220420_tanto_tanto_02_mono.wav,/mnt/data/Acoustic_Analysis_Results_2026-08-18/06_Spectral_Centroid/V10before_20220420_tanto_tanto_02_mono_spectral_centroid_framewise.csv,44100,2.089795918,2048,2048,2048,46.439909297,hann,magnitude,0.000000000,22050.000000000,sum(frequency_bin_hz * spectral_weight) / sum(spectral_weight),45,45,0,44,1,2,1626.243382151,1436.772161668,2343.997124196,907.224962528,2017.972228885,837.680145376,1237.561128399,5284.098381794,1624.039691119,872.146571992,likely_unvoiced_or_low_periodicity_frames_detected: 2
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V11after_20240502_tanto_tanto_02_mono.wav,/mnt/data/Acoustic_Analysis_Results_2026-08-18/06_Spectral_Centroid/V11after_20240502_tanto_tanto_02_mono_spectral_centroid_framewise.csv,44100,2.414875283,2048,2048,2048,46.439909297,hann,magnitude,0.000000000,22050.000000000,sum(frequency_bin_hz * spectral_weight) / sum(spectral_weight),52,52,0,52,0,,1857.667649986,1677.283134062,2019.133952801,341.850818738,1911.206818930,338.301494834,1493.331171321,3364.565880479,1857.667649986,341.850818738,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V11before_20220420_tanto_tanto_02_mono.wav,/mnt/data/Acoustic_Analysis_Results_2026-08-18/06_Spectral_Centroid/V11before_20220420_tanto_tanto_02_mono_spectral_centroid_framewise.csv,44100,2.414875283,2048,2048,2048,46.439909297,hann,magnitude,0.000000000,22050.000000000,sum(frequency_bin_hz * spectral_weight) / sum(spectral_weight),52,52,0,52,0,,1935.914677786,1708.935975865,2130.567115550,421.631139685,1935.992224158,266.656617602,1526.222517518,2682.144783160,1935.914677786,421.631139685,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V12after_20190408_tanto_tanto_02_mono.wav,/mnt/data/Acoustic_Analysis_Results_2026-08-18/06_Spectral_Centroid/V12after_20190408_tanto_tanto_02_mono_spectral_centroid_framewise.csv,44100,1.811156463,2048,2048,2048,46.439909297,hann,magnitude,0.000000000,22050.000000000,sum(frequency_bin_hz * spectral_weight) / sum(spectral_weight),39,39,0,39,0,,1442.806674589,1293.313611294,1667.256964501,373.943353207,1486.129865999,276.359193979,1019.770906337,2223.867597872,1442.806674589,373.943353207,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V12before_20170508_tanto_tanto_02_mono.wav,/mnt/data/Acoustic_Analysis_Results_2026-08-18/06_Spectral_Centroid/V12before_20170508_tanto_tanto_02_mono_spectral_centroid_framewise.csv,44100,2.089795918,2048,2048,2048,46.439909297,hann,magnitude,0.000000000,22050.000000000,sum(frequency_bin_hz * spectral_weight) / sum(spectral_weight),45,45,0,45,0,,1572.047628524,1430.778198069,1787.043676416,356.265478347,1625.274221388,392.001587638,967.347034139,3505.636225872,1572.047628524,356.265478347,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V13after_20190409_tanto_tanto_02_mono.wav,/mnt/data/Acoustic_Analysis_Results_2026-08-18/06_Spectral_Centroid/V13after_20190409_tanto_tanto_02_mono_spectral_centroid_framewise.csv,44100,2.043356009,2048,2048,2048,46.439909297,hann,magnitude,0.000000000,22050.000000000,sum(frequency_bin_hz * spectral_weight) / sum(spectral_weight),44,44,0,44,0,,1801.837102397,1667.473991504,1978.277053935,310.803062431,1789.225491644,324.287089611,1173.287770637,2600.868602038,1801.837102397,310.803062431,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V13before_20170508_tanto_tanto_02_mono.wav,/mnt/data/Acoustic_Analysis_Results_2026-08-18/06_Spectral_Centroid/V13before_20170508_tanto_tanto_02_mono_spectral_centroid_framewise.csv,44100,1.950476190,2048,2048,2048,46.439909297,hann,magnitude,0.000000000,22050.000000000,sum(frequency_bin_hz * spectral_weight) / sum(spectral_weight),42,42,0,42,0,,1883.763648215,1756.820944558,2027.960253758,271.139309200,1887.973860511,276.105407266,1289.054996039,2893.702702281,1883.763648215,271.139309200,
