input_file,output_frame_csv,sampling_rate_hz,duration_s,frame_size_samples,hop_size_samples,frame_duration_ms,n_frames_total,n_voiced_frames,n_unvoiced_frames,unvoiced_frame_indices,median_cpps_all_frames_db,mean_cpps_all_frames_db,sd_cpps_all_frames_db,median_cpps_voiced_frames_db,mean_cpps_voiced_frames_db,sd_cpps_voiced_frames_db,warning
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V05after_20240502_tanto_tanto_02_mono.wav,/mnt/data/Acoustic_Analysis_Results_2026-08-18/02_CPPS/V05after_20240502_tanto_tanto_02_mono_cpps_framewise.csv,44100,2.182675736961451,2048,2048,46.439909297052154,47,47,0,,11.538184,10.91575689361702,2.68765804744615,11.538184,10.91575689361702,2.68765804744615,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V05before_20220420_tanto_tanto_02_mono.wav,/mnt/data/Acoustic_Analysis_Results_2026-08-18/02_CPPS/V05before_20220420_tanto_tanto_02_mono_cpps_framewise.csv,44100,2.182675736961451,2048,2048,46.439909297052154,47,47,0,,12.323443,11.563885319148936,2.688938358185059,12.323443,11.563885319148936,2.688938358185059,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V06after_20240618_tanto_tanto_02_mono.wav,/mnt/data/Acoustic_Analysis_Results_2026-08-18/02_CPPS/V06after_20240618_tanto_tanto_02_mono_cpps_framewise.csv,44100,2.2755555555555556,2048,2048,46.439909297052154,49,49,0,,11.005488,10.311109673469387,3.002294678125539,11.005488,10.311109673469387,3.002294678125539,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V06before_20220530_tanto_tanto_02_mono.wav,/mnt/data/Acoustic_Analysis_Results_2026-08-18/02_CPPS/V06before_20220530_tanto_tanto_02_mono_cpps_framewise.csv,44100,3.5294331065759637,2048,2048,46.439909297052154,76,76,0,,9.057528,8.474662171052632,2.652571498166197,9.057528,8.474662171052632,2.652571498166197,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V07after_20200629_tnto_tanto_02_mono.wav,/mnt/data/Acoustic_Analysis_Results_2026-08-18/02_CPPS/V07after_20200629_tnto_tanto_02_mono_cpps_framewise.csv,44100,2.461315192743764,2048,2048,46.439909297052154,53,53,0,,11.583336,11.05310562264151,1.9561793690431573,11.583336,11.05310562264151,1.9561793690431573,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V07before_20180730_tanto_tanto_02_mono.wav,/mnt/data/Acoustic_Analysis_Results_2026-08-18/02_CPPS/V07before_20180730_tanto_tanto_02_mono_cpps_framewise.csv,44100,2.461315192743764,2048,2048,46.439909297052154,53,53,0,,12.039669,11.45422526415094,2.375164290295136,12.039669,11.45422526415094,2.375164290295136,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V08after_20240422_tanto_tanto_02_mono.wav,/mnt/data/Acoustic_Analysis_Results_2026-08-18/02_CPPS/V08after_20240422_tanto_tanto_02_mono_cpps_framewise.csv,44100,2.2291156462585033,2048,2048,46.439909297052154,48,48,0,,10.513059,10.026363854166666,2.2213429380507543,10.513059,10.026363854166666,2.2213429380507543,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V08before_20220420_tanto_tanto_01_mono.wav,/mnt/data/Acoustic_Analysis_Results_2026-08-18/02_CPPS/V08before_20220420_tanto_tanto_01_mono_cpps_framewise.csv,44100,2.136235827664399,2048,2048,46.439909297052154,46,46,0,,12.151653,11.372960152173913,2.589080713953824,12.151653,11.372960152173913,2.589080713953824,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V09after_20190508_tanto_tanto_02_mono.wav,/mnt/data/Acoustic_Analysis_Results_2026-08-18/02_CPPS/V09after_20190508_tanto_tanto_02_mono_cpps_framewise.csv,44100,3.1579138321995464,2048,2048,46.439909297052154,68,68,0,,11.9724705,11.377946602941178,2.6731382269666533,11.9724705,11.377946602941178,2.6731382269666533,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V09before_20170526_tanto_tanto_02_mono.wav,/mnt/data/Acoustic_Analysis_Results_2026-08-18/02_CPPS/V09before_20170526_tanto_tanto_02_mono_cpps_framewise.csv,44100,2.8792743764172335,2048,2048,46.439909297052154,62,62,0,,11.239096499999999,10.321559064516128,2.833399109414523,11.239096499999999,10.321559064516128,2.833399109414523,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V10after_20240501_tanto_tanto_02_mono.wav,/mnt/data/Acoustic_Analysis_Results_2026-08-18/02_CPPS/V10after_20240501_tanto_tanto_02_mono_cpps_framewise.csv,44100,2.136235827664399,2048,2048,46.439909297052154,46,46,0,,11.73086,10.369734304347826,3.0739305059422457,11.73086,10.369734304347826,3.0739305059422457,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V10before_20220420_tanto_tanto_02_mono.wav,/mnt/data/Acoustic_Analysis_Results_2026-08-18/02_CPPS/V10before_20220420_tanto_tanto_02_mono_cpps_framewise.csv,44100,2.089795918367347,2048,2048,46.439909297052154,45,44,1,2,11.735338,10.482620199999998,3.2272627198544717,11.744453,10.640918022727273,3.0827903692942034,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V11after_20240502_tanto_tanto_02_mono.wav,/mnt/data/Acoustic_Analysis_Results_2026-08-18/02_CPPS/V11after_20240502_tanto_tanto_02_mono_cpps_framewise.csv,44100,2.414875283446712,2048,2048,46.439909297052154,52,52,0,,12.578528,11.861434615384614,2.4960817639724877,12.578528,11.861434615384614,2.4960817639724877,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V11before_20220420_tanto_tanto_02_mono.wav,/mnt/data/Acoustic_Analysis_Results_2026-08-18/02_CPPS/V11before_20220420_tanto_tanto_02_mono_cpps_framewise.csv,44100,2.414875283446712,2048,2048,46.439909297052154,52,52,0,,11.382121,11.336278019230772,2.4934016343425185,11.382121,11.336278019230772,2.4934016343425185,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V12after_20190408_tanto_tanto_02_mono.wav,/mnt/data/Acoustic_Analysis_Results_2026-08-18/02_CPPS/V12after_20190408_tanto_tanto_02_mono_cpps_framewise.csv,44100,1.811156462585034,2048,2048,46.439909297052154,39,39,0,,11.136546,10.46806253846154,3.115835055137563,11.136546,10.46806253846154,3.115835055137563,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V12before_20170508_tanto_tanto_02_mono.wav,/mnt/data/Acoustic_Analysis_Results_2026-08-18/02_CPPS/V12before_20170508_tanto_tanto_02_mono_cpps_framewise.csv,44100,2.089795918367347,2048,2048,46.439909297052154,45,45,0,,11.4344,10.27776166666667,3.5064822358396004,11.4344,10.27776166666667,3.5064822358396004,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V13after_20190409_tanto_tanto_02_mono.wav,/mnt/data/Acoustic_Analysis_Results_2026-08-18/02_CPPS/V13after_20190409_tanto_tanto_02_mono_cpps_framewise.csv,44100,2.043356009070295,2048,2048,46.439909297052154,44,44,0,,11.706430000000001,10.641562681818181,3.08143751528485,11.706430000000001,10.641562681818181,3.08143751528485,
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V13before_20170508_tanto_tanto_02_mono.wav,/mnt/data/Acoustic_Analysis_Results_2026-08-18/02_CPPS/V13before_20170508_tanto_tanto_02_mono_cpps_framewise.csv,44100,1.9504761904761905,2048,2048,46.439909297052154,42,42,0,,11.702829999999999,11.29750730952381,2.62779152936375,11.702829999999999,11.29750730952381,2.62779152936375,
